Country,Code,Name,Type,Model,ThermalPower,Gross,Net,Operator,Provider,EAF,UCF,Start,Connection,Operation,Construction_time
ARGENTINA,AR -1   ,ATUCHA-1,PHWR ,PHWR KWU,1179,362,340,NASA,SIEMENS,74.5,75.5,1968-06-01,1974-03-01,1974-06-01 00:00:00,2099
ARGENTINA,AR -2   ,EMBALSE,PHWR ,CANDU 6,2064,656,608,NASA,AECL,78.6,78.9,1974-04-01,1983-04-01,1984-01-01 00:00:00,3287
ARGENTINA,AR -3   ,ATUCHA-2,PHWR ,PHWR KWU,2160,745,693,NASA,SIEMENS,53.1,53.1,1981-07-01,2014-06-01,2016-05-01 00:00:00,12023
ARMENIA,AM -19  ,ARMENIAN-2,PWR  ,VVER V-270,1375,451,415,ANPPCJSC,FAEA,65.6,67.7,1975-07-01,1980-01-01,1980-05-01 00:00:00,1645
BELARUS,BY -1   ,BELARUSIAN-1,PWR  ,VVER V-491,3200,1194,1110,BelNPP,JSC ASE,0.0,0.0,2013-11-01,2020-11-01,,2557
BELGIUM,BE -2   ,DOEL-1,PWR  ,WH 2LP,1311,454,445,EBL+EDF,ACECOWEN,83.4,84.2,1969-07-01,1974-08-01,1975-02-01 00:00:00,1857
BELGIUM,BE -3   ,TIHANGE-1,PWR  ,Framatome 3 lo,2873,1009,962,EBL,ACLF,79.9,81.9,1970-06-01,1975-03-01,1975-10-01 00:00:00,1734
BELGIUM,BE -4   ,DOEL-2,PWR  ,WH 2LP,1311,454,445,EBL+EDF,ACECOWEN,80.9,81.7,1971-09-01,1975-08-01,1975-12-01 00:00:00,1430
BELGIUM,BE -5   ,DOEL-3,PWR  ,WH 3LP,3054,1056,1006,EBL+EDF,FRAMACEC,78.5,79.5,1975-01-01,1982-06-01,1982-10-01 00:00:00,2708
BELGIUM,BE -6   ,TIHANGE-2,PWR  ,WH 3LP,3064,1055,1008,EBL,FRAMACEC,79.7,80.6,1976-04-01,1982-10-01,1983-06-01 00:00:00,2374
BELGIUM,BE -7   ,DOEL-4,PWR  ,WH 3LP,2988,1090,1038,EBL+EDF,ACECOWEN,83.3,84.0,1978-12-01,1985-04-01,1985-07-01 00:00:00,2313
BELGIUM,BE -8   ,TIHANGE-3,PWR  ,WH 3LP,3000,1089,1038,EBL,ACECOWEN,85.9,87.3,1978-11-01,1985-06-01,1985-09-01 00:00:00,2404
BRAZIL,BR -1   ,ANGRA-1,PWR  ,WH 2LP,1882,640,609,ELETROBR,WH,62.9,67.8,1971-05-01,1982-04-01,1985-01-01 00:00:00,3988
BRAZIL,BR -2   ,ANGRA-2,PWR  ,PRE KONVOI,3764,1350,1275,ELETROBR,KWU,87.0,88.2,1976-01-01,2000-07-01,2001-02-01 00:00:00,8948
BULGARIA,BG -5   ,KOZLODUY-5,PWR  ,VVER V-320,3000,1000,1003,KOZNPP,AEE,72.8,74.9,1980-07-01,1987-11-01,1988-12-01 00:00:00,2679
BULGARIA,BG -6   ,KOZLODUY-6,PWR  ,VVER V-320,3120,1040,1003,KOZNPP,AEE,78.7,80.5,1982-04-01,1991-08-01,1993-12-01 00:00:00,3409
CANADA,CA -10  ,BRUCE-3,PHWR ,CANDU 750A,2550,830,770,BRUCEPOW,OH/AECL,74.8,75.3,1972-07-01,1977-12-01,1978-02-01 00:00:00,1979
CANADA,CA -11  ,BRUCE-4,PHWR ,CANDU 750A,2550,830,769,BRUCEPOW,OH/AECL,74.0,74.6,1972-09-01,1978-12-01,1979-01-01 00:00:00,2282
CANADA,CA -13  ,PICKERING-5,PHWR ,CANDU 500B,1744,540,516,OPG,OH/AECL,74.7,75.4,1974-11-01,1982-12-01,1983-05-01 00:00:00,2952
CANADA,CA -14  ,PICKERING-6,PHWR ,CANDU 500B,1744,540,516,OPG,OH/AECL,78.2,78.9,1975-10-01,1983-11-01,1984-02-01 00:00:00,2953
CANADA,CA -15  ,PICKERING-7,PHWR ,CANDU 500B,1744,540,516,OPG,OH/AECL,78.4,79.0,1976-03-01,1984-11-01,1985-01-01 00:00:00,3167
CANADA,CA -16  ,PICKERING-8,PHWR ,CANDU 500B,1744,540,516,OPG,OH/AECL,76.1,76.8,1976-09-01,1986-01-01,1986-02-01 00:00:00,3409
CANADA,CA -17  ,POINT LEPREAU,PHWR ,CANDU 6,2180,705,660,NBEPC,AECL,72.3,73.1,1975-05-01,1982-09-01,1983-02-01 00:00:00,2680
CANADA,CA -18  ,BRUCE-5,PHWR ,CANDU 750B,2832,872,817,BRUCEPOW,OH/AECL,85.3,85.8,1978-06-01,1984-12-01,1985-03-01 00:00:00,2375
CANADA,CA -19  ,BRUCE-6,PHWR ,CANDU 750B,2690,891,817,BRUCEPOW,OH/AECL,81.2,81.8,1978-01-01,1984-06-01,1984-09-01 00:00:00,2343
CANADA,CA -20  ,BRUCE-7,PHWR ,CANDU 750B,2832,872,817,BRUCEPOW,OH/AECL,85.8,86.5,1979-05-01,1986-02-01,1986-04-01 00:00:00,2468
CANADA,CA -21  ,BRUCE-8,PHWR ,CANDU 750B,2690,872,817,BRUCEPOW,OH/AECL,83.6,84.5,1979-08-01,1987-03-01,1987-05-01 00:00:00,2769
CANADA,CA -22  ,DARLINGTON-1,PHWR ,CANDU 850,2776,934,878,OPG,OH/AECL,85.5,86.5,1982-04-01,1990-12-01,1992-11-01 00:00:00,3166
CANADA,CA -23  ,DARLINGTON-2,PHWR ,CANDU 850,2776,934,878,OPG,OH/AECL,70.5,71.4,1981-09-01,1990-01-01,1990-10-01 00:00:00,3044
