Country,Code,Name,Type,Model,Thermal,Gross,Net,Operator,Supplier,Start,Connection,Operation,Shutdown,EAF,UCF,NEA,Status,Construction_time
ARGENTINA,AR -1   ,ATUCHA-1,PHWR ,PHWR KWU,1179,362,340,NASA,SIEMENS,1968-06-01,1974-03-01,1974-06-01 00:00:00,,74.6,75.5,-,Online,2099
ARGENTINA,AR -2   ,EMBALSE,PHWR ,CANDU 6,2064,656,608,NASA,AECL,1974-04-01,1983-04-01,1984-01-01 00:00:00,,78.7,78.9,-,Online,3287
ARGENTINA,AR -3   ,ATUCHA-2,PHWR ,PHWR KWU,2160,745,693,NASA,SIEMENS,1981-07-01,2014-06-01,2016-05-01 00:00:00,,53.9,53.9,-,Online,12023
ARMENIA,AM -19  ,ARMENIAN-2,PWR  ,VVER V-270,1375,451,448,ANPPCJSC,FAEA,1975-07-01,1980-01-01,1980-05-01 00:00:00,,65.0,67.0,-,Online,1645
BELARUS,BY -1   ,BELARUSIAN-1,PWR  ,VVER V-491,3200,1194,1110,BelNPP,JSC ASE,2013-11-01,2020-11-01,2021-06-01 00:00:00,,58.7,58.7,-,Online,2557
BELGIUM,BE -2   ,DOEL-1,PWR  ,WH 2LP,1311,454,445,EBL+EDF,ACECOWEN,1969-07-01,1974-08-01,1975-02-01 00:00:00,,83.6,84.4,-,Online,1857
BELGIUM,BE -3   ,TIHANGE-1,PWR  ,Framatome 3 lo,2873,1009,962,EBL,ACLF,1970-06-01,1975-03-01,1975-10-01 00:00:00,,80.3,82.3,-,Online,1734
BELGIUM,BE -4   ,DOEL-2,PWR  ,WH 2LP,1311,454,445,EBL+EDF,ACECOWEN,1971-09-01,1975-08-01,1975-12-01 00:00:00,,81.1,81.9,-,Online,1430
BELGIUM,BE -5   ,DOEL-3,PWR  ,WH 3LP,3054,1056,1006,EBL+EDF,FRAMACEC,1975-01-01,1982-06-01,1982-10-01 00:00:00,,78.8,79.8,-,Online,2708
BELGIUM,BE -6   ,TIHANGE-2,PWR  ,WH 3LP,3064,1055,1008,EBL,FRAMACEC,1976-04-01,1982-10-01,1983-06-01 00:00:00,,79.9,80.7,-,Online,2374
BELGIUM,BE -7   ,DOEL-4,PWR  ,WH 3LP,2988,1090,1038,EBL+EDF,ACECOWEN,1978-12-01,1985-04-01,1985-07-01 00:00:00,,83.5,84.1,-,Online,2313
BELGIUM,BE -8   ,TIHANGE-3,PWR  ,WH 3LP,3000,1089,1038,EBL,ACECOWEN,1978-11-01,1985-06-01,1985-09-01 00:00:00,,86.3,87.7,-,Online,2404
BRAZIL,BR -1   ,ANGRA-1,PWR  ,WH 2LP,1882,640,609,ELETROBR,WH,1971-05-01,1982-04-01,1985-01-01 00:00:00,,63.6,68.4,-,Online,3988
BRAZIL,BR -2   ,ANGRA-2,PWR  ,PRE KONVOI,3764,1350,1275,ELETROBR,KWU,1976-01-01,2000-07-01,2001-02-01 00:00:00,,86.7,87.8,-,Online,8948
BULGARIA,BG -5   ,KOZLODUY-5,PWR  ,VVER V-320,3120,1040,1003,KNPP,AEE,1980-07-01,1987-11-01,1988-12-01 00:00:00,,73.3,75.3,DH,Online,2679
BULGARIA,BG -6   ,KOZLODUY-6,PWR  ,VVER V-320,3120,1040,1003,K N N P,AEE,1982-04-01,1991-08-01,1993-12-01 00:00:00,,79.0,80.8,DH,Online,3409
CANADA,CA -10  ,BRUCE-3,PHWR ,CANDU 750A,2550,865,770,BRUCEPOW,OH/AECL,1972-07-01,1977-12-01,1978-02-01 00:00:00,,74.0,74.5,-,Online,1979
CANADA,CA -11  ,BRUCE-4,PHWR ,CANDU 750A,2550,868,769,BRUCEPOW,OH/AECL,1972-09-01,1978-12-01,1979-01-01 00:00:00,,74.7,75.3,-,Online,2282
CANADA,CA -13  ,PICKERING-5,PHWR ,CANDU 500B,1744,540,516,OPG,OH/AECL,1974-11-01,1982-12-01,1983-05-01 00:00:00,,74.6,75.3,-,Online,2952
CANADA,CA -14  ,PICKERING-6,PHWR ,CANDU 500B,1744,540,516,OPG,OH/AECL,1975-10-01,1983-11-01,1984-02-01 00:00:00,,78.6,79.3,-,Online,2953
CANADA,CA -15  ,PICKERING-7,PHWR ,CANDU 500B,1744,540,516,OPG,OH/AECL,1976-03-01,1984-11-01,1985-01-01 00:00:00,,77.9,78.5,-,Online,3167
CANADA,CA -16  ,PICKERING-8,PHWR ,CANDU 500B,1744,540,516,OPG,OH/AECL,1976-09-01,1986-01-01,1986-02-01 00:00:00,,75.5,76.2,-,Online,3409
CANADA,CA -17  ,POINT LEPREAU,PHWR ,CANDU 6,2180,705,660,NBEPC,AECL,1975-05-01,1982-09-01,1983-02-01 00:00:00,,72.4,73.1,-,Online,2680
CANADA,CA -18  ,BRUCE-5,PHWR ,CANDU 750B,2832,872,817,BRUCEPOW,OH/AECL,1978-05-01,1984-12-01,1985-02-01 00:00:00,,85.7,86.2,-,Online,2406
CANADA,CA -19  ,BRUCE-6,PHWR ,CANDU 750B,2690,891,817,BRUCEPOW,OH/AECL,1978-01-01,1984-06-01,1984-09-01 00:00:00,,79.0,79.6,-,Online,2343
CANADA,CA -20  ,BRUCE-7,PHWR ,CANDU 750B,2832,872,817,BRUCEPOW,OH/AECL,1979-05-01,1986-02-01,1986-04-01 00:00:00,,85.7,86.4,-,Online,2468
CANADA,CA -21  ,BRUCE-8,PHWR ,CANDU 750B,2690,872,817,BRUCEPOW,OH/AECL,1979-07-01,1987-03-01,1987-05-01 00:00:00,,84.0,84.9,-,Online,2800
CANADA,CA -22  ,DARLINGTON-1,PHWR ,CANDU 850,2776,934,878,OPG,OH/AECL,1982-04-01,1990-12-01,1992-11-01 00:00:00,,85.1,86.1,-,Online,3166
CANADA,CA -23  ,DARLINGTON-2,PHWR ,CANDU 850,2776,934,878,OPG,OH/AECL,1981-09-01,1990-01-01,1990-10-01 00:00:00,,71.2,72.1,-,Online,3044
CANADA,CA -24  ,DARLINGTON-3,PHWR ,CANDU 850,2776,934,878,OPG,OH/AECL,1984-09-01,1992-12-01,1993-02-01 00:00:00,,82.4,83.1,-,Online,3013
CANADA,CA -25  ,DARLINGTON-4,PHWR ,CANDU 850,2776,934,878,OPG,OH/AECL,1985-07-01,1993-04-01,1993-06-01 00:00:00,,85.5,86.3,-,Online,2831
CANADA,CA -4   ,PICKERING-1,PHWR ,CANDU 500A,1744,542,515,OPG,OH/AECL,1966-06-01,1971-04-01,1971-07-01 00:00:00,,68.0,68.2,-,Online,1765
CANADA,CA -7   ,PICKERING-4,PHWR ,CANDU 500A,1744,542,515,OPG,OH/AECL,1968-05-01,1973-05-01,1973-06-01 00:00:00,,68.2,68.6,-,Online,1826
CANADA,CA -8   ,BRUCE-1,PHWR ,CANDU 791,2620,868,774,BRUCEPOW,OH/AECL,1971-06-01,1977-01-01,1977-09-01 00:00:00,,72.4,72.8,-,Online,2041
CANADA,CA -9   ,BRUCE-2,PHWR ,CANDU 791,2620,836,777,BRUCEPOW,OH/AECL,1970-12-01,1976-09-01,1977-09-01 00:00:00,,69.9,70.4,-,Online,2101
CHINA,CN -1   ,QINSHAN-1,PWR  ,CNP-300,966,330,308,CNNO,CNNC,1985-03-01,1991-12-01,1994-04-01 00:00:00,,82.3,83.3,-,Online,2466
CHINA,CN -10  ,TIANWAN-1,PWR  ,VVER V-428,3000,1060,1000,JNPC,IZ,1999-10-01,2006-05-01,2007-05-01 00:00:00,,86.8,87.0,-,Online,2404
CHINA,CN -11  ,TIANWAN-2,PWR  ,VVER V-428,3000,1060,1000,JNPC,IZ,2000-09-01,2007-05-01,2007-08-01 00:00:00,,89.4,89.6,-,Online,2433
CHINA,CN -12  ,LING AO-3,PWR  ,CPR-1000,2905,1086,1007,DNMC,DEC,2005-12-01,2010-07-01,2010-09-01 00:00:00,,87.6,88.0,-,Online,1673
CHINA,CN -13  ,LING AO-4,PWR  ,CPR-1000,2905,1086,1007,DNMC,DEC,2006-06-01,2011-05-01,2011-08-01 00:00:00,,89.4,90.0,-,Online,1795
CHINA,CN -14  ,QINSHAN 2-3,PWR  ,CNP-600,1930,660,619,NPQJVC,CNNC,2006-04-01,2010-08-01,2010-10-01 00:00:00,,90.6,90.7,-,Online,1583
CHINA,CN -15  ,QINSHAN 2-4,PWR  ,CNP-600,1930,660,619,NPQJVC,CNNC,2007-01-01,2011-11-01,2011-12-01 00:00:00,,91.1,91.2,-,Online,1765
CHINA,CN -16  ,HONGYANHE-1,PWR  ,CPR-1000,2905,1119,1061,LHNPC,DEC,2007-08-01,2013-02-01,2013-06-01 00:00:00,,88.9,89.9,-,Online,2011
CHINA,CN -17  ,HONGYANHE-2,PWR  ,CPR-1000,2905,1119,1061,LHNPC,DEC,2008-03-01,2013-11-01,2014-05-01 00:00:00,,86.1,87.2,-,Online,2071
CHINA,CN -18  ,NINGDE-1,PWR  ,CPR-1000,2905,1089,1018,NDNP,DEC,2008-02-01,2012-12-01,2013-04-01 00:00:00,,87.9,87.9,-,Online,1765
CHINA,CN -19  ,NINGDE-2,PWR  ,CPR-1000,2905,1089,1018,NDNP,SHE,2008-11-01,2014-01-01,2014-05-01 00:00:00,,91.6,91.6,-,Online,1887
CHINA,CN -2   ,DAYA BAY-1,PWR  ,M310,2905,984,944,DNMC,FRAM,1987-08-01,1993-08-01,1994-02-01 00:00:00,,86.5,88.9,-,Online,2192
CHINA,CN -20  ,FUQING-1,PWR  ,CNP-1000,2905,1089,1000,FQNP,NPIC,2008-11-01,2014-08-01,2014-11-01 00:00:00,,90.0,90.3,-,Online,2099
CHINA,CN -21  ,FUQING-2,PWR  ,CNP-1000,2905,1089,1000,FQNP,NPIC,2009-06-01,2015-08-01,2015-10-01 00:00:00,,88.8,89.1,-,Online,2252
CHINA,CN -22  ,YANGJIANG-1,PWR  ,CPR-1000,2905,1086,1000,YJNPC,CFHI,2008-12-01,2013-12-01,2014-03-01 00:00:00,,90.4,90.4,-,Online,1826
CHINA,CN -23  ,YANGJIANG-2,PWR  ,CPR-1000,2905,1086,1000,YJNPC,CFHI,2009-06-01,2015-03-01,2015-06-01 00:00:00,,91.5,91.5,-,Online,2099
CHINA,CN -24  ,FANGJIASHAN-1,PWR  ,CPR-1000,2905,1089,1012,QNPC,NPIC,2008-12-01,2014-11-01,2014-12-01 00:00:00,,91.9,92.3,-,Online,2161
CHINA,CN -25  ,FANGJIASHAN-2,PWR  ,CPR-1000,2905,1089,1012,QNPC,NPIC,2009-07-01,2015-01-01,2015-02-01 00:00:00,,91.3,91.8,-,Online,2010
CHINA,CN -26  ,HONGYANHE-3,PWR  ,CPR-1000,2905,1119,1061,LHNPC,DEC,2009-03-01,2015-03-01,2015-08-01 00:00:00,,89.3,90.7,-,Online,2191
CHINA,CN -27  ,HONGYANHE-4,PWR  ,CPR-1000,2905,1119,1061,LHNPC,DEC,2009-08-01,2016-04-01,2016-06-01 00:00:00,,89.6,90.8,-,Online,2435
CHINA,CN -28  ,SANMEN-1,PWR  ,AP-1000,3400,1251,1157,SMNPC,WH/MHI,2009-04-01,2018-06-01,2018-09-01 00:00:00,,91.2,92.1,-,Online,3348
CHINA,CN -29  ,SANMEN-2,PWR  ,AP-1000,3400,1251,1157,SMNPC,WH/MHI,2009-12-01,2018-08-01,2018-11-01 00:00:00,,66.5,67.8,-,Online,3165
CHINA,CN -3   ,DAYA BAY-2,PWR  ,M310,2905,984,944,DNMC,FRAM,1988-04-01,1994-02-01,1994-05-01 00:00:00,,86.6,87.7,-,Online,2132
CHINA,CN -30  ,HAIYANG-1,PWR  ,AP-1000,3415,1250,1170,SDNPC,WH,2009-09-01,2018-08-01,2018-10-01 00:00:00,,91.5,92.3,-,Online,3256
CHINA,CN -31  ,HAIYANG-2,PWR  ,AP-1000,3415,1250,1170,SDNPC,WH,2010-06-01,2018-10-01,2019-01-01 00:00:00,,93.1,93.9,-,Online,3044
CHINA,CN -32  ,TAISHAN-1,PWR  ,EPR-1750,4590,1750,1660,TNPJVC,ORANO,2009-11-01,2018-06-01,2018-12-01 00:00:00,,72.5,73.0,-,Online,3134
CHINA,CN -33  ,TAISHAN-2,PWR  ,EPR-1750,4590,1750,1660,TNPJVC,ORANO,2010-04-01,2019-06-01,2019-09-01 00:00:00,,89.1,90.0,-,Online,3348
CHINA,CN -34  ,NINGDE-3,PWR  ,CPR-1000,2905,1089,1018,NDNP,CFHI,2010-01-01,2015-03-01,2015-06-01 00:00:00,,92.0,92.0,-,Online,1885
CHINA,CN -35  ,NINGDE-4,PWR  ,CPR-1000,2905,1089,1018,NDNP,CFHI,2010-09-01,2016-03-01,2016-07-01 00:00:00,,93.4,93.4,-,Online,2008
CHINA,CN -36  ,CHANGJIANG-1,PWR  ,CNP-600,1930,650,601,HNPC,DEC,2010-04-01,2015-11-01,2015-12-01 00:00:00,,88.8,88.8,-,Online,2040
CHINA,CN -37  ,CHANGJIANG-2,PWR  ,CNP-600,1930,650,601,HNPC,DEC,2010-11-01,2016-06-01,2016-08-01 00:00:00,,89.2,89.2,-,Online,2039
CHINA,CN -38  ,FANGCHENGGANG-1,PWR  ,CPR-1000,2905,1086,1000,GFNPC,DEC,2010-07-01,2015-10-01,2016-01-01 00:00:00,,91.8,91.8,-,Online,1918
CHINA,CN -39  ,FANGCHENGGANG-2,PWR  ,CPR-1000,2905,1086,1000,GFNPC,DEC,2010-12-01,2016-07-01,2016-10-01 00:00:00,,93.2,93.2,-,Online,2039
CHINA,CN -4   ,QINSHAN 2-1,PWR  ,CNP-600,1930,650,610,NPQJVC,CNNC,1996-06-01,2002-02-01,2002-04-01 00:00:00,,84.4,84.5,-,Online,2071
CHINA,CN -40  ,YANGJIANG-3,PWR  ,CPR-1000,2905,1086,1000,YJNPC,CFHI,2010-11-01,2015-10-01,2016-01-01 00:00:00,,91.4,91.7,-,Online,1795
CHINA,CN -41  ,YANGJIANG-4,PWR  ,CPR-1000,2905,1086,1000,YJNPC,CFHI,2012-11-01,2017-01-01,2017-03-01 00:00:00,,90.5,90.6,-,Online,1522
CHINA,CN -42  ,FUQING-3,PWR  ,CNP-1000,2905,1089,1000,FQNP,NPIC,2010-12-01,2016-09-01,2016-10-01 00:00:00,,89.5,89.8,-,Online,2101
CHINA,CN -43  ,FUQING-4,PWR  ,CNP-1000,2905,1089,1000,FQNP,NPIC,2012-11-01,2017-07-01,2017-09-01 00:00:00,,90.7,91.1,-,Online,1703
CHINA,CN -44  ,SHIDAO BAY-1,HTGR ,HTR-PM,500,211,200,HSNPC,TSINGHUA,2012-12-01,2021-12-01,,,0.0,0.0,-,Online,3287
CHINA,CN -45  ,TIANWAN-3,PWR  ,VVER V-428M,3000,1126,1060,JNPC,IZ,2012-12-01,2017-12-01,2018-02-01 00:00:00,,88.7,89.3,-,Online,1826
CHINA,CN -46  ,TIANWAN-4,PWR  ,VVER V-428M,3000,1126,1060,JNPC,IZ,2013-09-01,2018-10-01,2018-12-01 00:00:00,,91.9,91.9,-,Online,1856
CHINA,CN -47  ,YANGJIANG-5,PWR  ,ACPR-1000,2905,1086,1000,YJNPC,CFHI,2013-09-01,2018-05-01,2018-07-01 00:00:00,,91.7,91.9,-,Online,1703
CHINA,CN -48  ,YANGJIANG-6,PWR  ,ACPR-1000,2905,1086,1000,YJNPC,CFHI,2013-12-01,2019-06-01,2019-07-01 00:00:00,,92.4,92.4,-,Online,2008
CHINA,CN -49  ,HONGYANHE-5,PWR  ,ACPR-1000,2905,1119,1061,LHNPC,DEC,2015-03-01,2021-06-01,2021-07-01 00:00:00,,97.7,100.0,-,Online,2284
CHINA,CN -5   ,QINSHAN 2-2,PWR  ,CNP-600,1930,650,610,NPQJVC,CNNC,1997-04-01,2004-03-01,2004-05-01 00:00:00,,88.9,89.0,-,Online,2526
CHINA,CN -51  ,FUQING-5,PWR  ,HPR1000,3060,1150,1075,FQNP,NPIC,2015-05-01,2020-11-01,2021-01-01 00:00:00,,91.5,92.1,-,Online,2011
CHINA,CN -53  ,TIANWAN-5,PWR  ,CNP-1000,2905,1118,1060,JNPC,SHE,2015-12-01,2020-08-01,2020-09-01 00:00:00,,86.5,87.4,-,Online,1705
CHINA,CN -54  ,TIANWAN-6,PWR  ,CNP-1000,2905,1118,1060,JNPC,CFHI,2016-09-01,2021-05-01,2021-06-01 00:00:00,,98.9,100.0,-,Online,1703
CHINA,CN -6   ,LING AO-1,PWR  ,M310,2905,990,950,DNMC,FRAM,1997-05-01,2002-02-01,2002-05-01 00:00:00,,89.8,90.2,-,Online,1737
CHINA,CN -7   ,LING AO-2,PWR  ,M310,2905,990,950,DNMC,FRAM,1997-11-01,2002-09-01,2003-01-01 00:00:00,,90.5,90.8,-,Online,1765
CHINA,CN -8   ,QINSHAN 3-1,PHWR ,CANDU 6,2064,728,677,TQNPC,AECL,1998-06-01,2002-11-01,2002-12-01 00:00:00,,89.7,90.2,-,Online,1614
CHINA,CN -9   ,QINSHAN 3-2,PHWR ,CANDU 6,2064,728,677,TQNPC,AECL,1998-09-01,2003-06-01,2003-07-01 00:00:00,,91.4,91.8,-,Online,1734
CHINA,CN -901 ,CEFR,FBR  ,BN-20,65,25,20,CIAE,IZ,2000-05-01,2011-07-01,,,0.0,0.0,-,Online,4078
CZECH REP.,CZ -23  ,TEMELIN-1,PWR  ,VVER V-320,3120,1082,1027,CEZ,ŠKODA ,1987-02-01,2000-12-01,2002-06-01 00:00:00,,75.8,76.0,DH,Online,5052
CZECH REP.,CZ -24  ,TEMELIN-2,PWR  ,VVER V-320,3120,1082,1029,CEZ,ŠKODA ,1987-02-01,2002-12-01,2003-04-01 00:00:00,,77.8,78.0,DH,Online,5782
