Country,Code,Name,Type,Model,ThermalPower,Gross,Net,Operator,Provider,EAF,UCF,Start,Connection,Operation,Shutdown,Construction_time,Online,current_num,ctime_y,ctime_start,color_type
CHINA,CN -53  ,TIANWAN-5,PWR  ,CNP-1000,2905,1118,1000,JNPC,SHE,93.3,93.3,2015-12-01,2020-08-01,2020-09-01 00:00:00,,1705,True,271,4.671232876712328,65.95890410958904,#377eb8
CHINA,CN -51  ,FUQING-5,PWR  ,HPR1000,3060,1150,1000,FQNP,NPIC,0.0,0.0,2015-05-01,2020-11-01,2021-01-01 00:00:00,,2011,True,270,5.50958904109589,65.37260273972603,#377eb8
CHINA,CN -48  ,YANGJIANG-6,PWR  ,ACPR-1000,2905,1086,1000,YJNPC,CFHI,87.6,87.6,2013-12-01,2019-06-01,2019-07-01 00:00:00,,2008,True,268,5.501369863013698,63.95890410958904,#377eb8
BELARUS,BY -1   ,BELARUSIAN-1,PWR  ,VVER V-491,3200,1194,1110,BelNPP,JSC ASE,0.0,0.0,2013-11-01,2020-11-01,,,2557,True,196,7.005479452054795,63.87671232876713,#377eb8
CHINA,CN -46  ,TIANWAN-4,PWR  ,VVER V-428M,3000,1126,1045,JNPC,IZ,89.9,90.0,2013-09-01,2018-10-01,2018-12-01 00:00:00,,1856,True,266,5.0849315068493155,63.70958904109589,#377eb8
CHINA,CN -47  ,YANGJIANG-5,PWR  ,ACPR-1000,2905,1086,1000,YJNPC,CFHI,90.6,90.9,2013-09-01,2018-05-01,2018-07-01 00:00:00,,1703,True,267,4.6657534246575345,63.70958904109589,#377eb8
CHINA,CN -45  ,TIANWAN-3,PWR  ,VVER V-428M,3000,1126,1045,JNPC,IZ,87.5,87.9,2012-12-01,2017-12-01,2018-02-01 00:00:00,,1826,True,265,5.002739726027397,62.95890410958904,#377eb8
CHINA,CN -41  ,YANGJIANG-4,PWR  ,CPR-1000,2905,1086,1000,YJNPC,CFHI,90.7,90.9,2012-11-01,2017-01-01,2017-03-01 00:00:00,,1522,True,262,4.16986301369863,62.87671232876713,#377eb8
CHINA,CN -43  ,FUQING-4,PWR  ,CNP-1000,2905,1089,1000,FQNP,NPIC,88.0,88.3,2012-11-01,2017-07-01,2017-09-01 00:00:00,,1703,True,264,4.6657534246575345,62.87671232876713,#377eb8
UAE,AE -01  ,BARAKAH-1,PWR  ,APR-1400,3983,1400,1345,NAWAH,KEPCO,0.0,0.0,2012-07-01,2020-08-01,2021-04-01 00:00:00,,2953,True,505,8.09041095890411,62.53972602739726,#377eb8
