Country,Code,Name,Type,Model,ThermalPower,Gross,Net,Operator,Provider,EAF,UCF,Start,Connection,Operation,Shutdown,Construction_time,Online
ARMENIA,AM -18  ,ARMENIAN-1,PWR  ,,1375,408,376,ANPPCJSC,FAEA,,,1969-07-01,1976-12-01,1977-10-01 00:00:00,1989-02-01,2710,False
BELGIUM,BE -1   ,BR-3,PWR  ,,41,12,10,CEN/SCK,WH,,,1957-11-01,1962-10-01,1962-10-01 00:00:00,1987-06-01,1795,False
BULGARIA,BG -1   ,KOZLODUY-1,PWR  ,,1375,440,408,KOZNPP,AEE,,,1970-04-01,1974-07-01,1974-10-01 00:00:00,2002-12-01,1552,False
BULGARIA,BG -2   ,KOZLODUY-2,PWR  ,,1375,440,408,KOZNPP,AEE,,,1970-04-01,1975-08-01,1975-11-01 00:00:00,2002-12-01,1948,False
BULGARIA,BG -3   ,KOZLODUY-3,PWR  ,,1375,440,408,KOZNPP,AEE,,,1973-10-01,1980-12-01,,2006-12-01,2618,False
BULGARIA,BG -4   ,KOZLODUY-4,PWR  ,,1375,440,408,KOZNPP,AEE,,,1973-10-01,1982-05-01,1982-06-01 00:00:00,2006-12-01,3134,False
CANADA,CA -2   ,DOUGLAS POINT,PHWR ,,704,218,206,OH,AECL,,,1960-02-01,1967-01-01,1968-09-01 00:00:00,1984-05-01,2526,False
CANADA,CA -3   ,GENTILLY-1,HWLWR,,792,266,250,HQ,AECL,,,1966-09-01,1971-04-01,1972-05-01 00:00:00,1977-06-01,1673,False
CANADA,CA -12  ,GENTILLY-2,PHWR ,,2156,675,635,HQ,AECL,,,1974-04-01,1982-12-01,1983-10-01 00:00:00,2012-12-01,3166,False
CANADA,CA -5   ,PICKERING-2,PHWR ,,1744,542,515,OPG,OH/AECL,,,1966-09-01,1971-10-01,1971-12-01 00:00:00,2007-05-01,1856,False
CANADA,CA -6   ,PICKERING-3,PHWR ,,1744,542,515,OPG,OH/AECL,,,1967-12-01,1972-05-01,1972-06-01 00:00:00,2008-10-01,1613,False
CANADA,CA -1   ,ROLPHTON NPD,PHWR ,,92,25,22,OH,CGE,,,1958-01-01,1962-06-01,1962-10-01 00:00:00,1987-08-01,1612,False
FRANCE,FR -9   ,BUGEY-1,GCR  ,,1954,555,540,EDF,FRAM,,,1965-12-01,1972-04-01,1972-07-01 00:00:00,1994-05-01,2313,False
FRANCE,FR -2   ,CHINON A-1,GCR  ,,300,80,70,EDF,LEVIVIER,,,1957-02-01,1963-06-01,1964-02-01 00:00:00,1973-04-01,2311,False
FRANCE,FR -3   ,CHINON A-2,GCR  ,,800,230,180,EDF,LEVIVIER,,,1959-08-01,1965-02-01,1965-02-01 00:00:00,1985-06-01,2011,False
FRANCE,FR -4   ,CHINON A-3,GCR  ,,1170,480,360,EDF,GTM,,,1961-03-01,1966-08-01,1966-08-01 00:00:00,1990-06-01,1979,False
FRANCE,FR -5   ,CHOOZ-A (ARDENNES),PWR  ,,1040,320,305,SENA,A/F/W,,,1962-01-01,1967-04-01,1967-04-01 00:00:00,1991-10-01,1916,False
FRANCE,FR -6   ,EL-4 (MONTS D'ARREE),HWGCR,,250,75,70,EDF,GAAA,,,1962-07-01,1967-07-01,1968-06-01 00:00:00,1985-07-01,1826,False
FRANCE,FR -11  ,FESSENHEIM-1,PWR  ,,2785,920,880,EDF,FRAM,,,1971-09-01,1977-04-01,1978-01-01 00:00:00,2020-02-01,2039,False
FRANCE,FR -12  ,FESSENHEIM-2,PWR  ,,2785,920,880,EDF,FRAM,,,1972-02-01,1977-10-01,1978-04-01 00:00:00,2020-06-01,2069,False
FRANCE,FR -1B  ,G-2 (MARCOULE),GCR  ,,260,43,39,COGEMA,SACM,,,1955-03-01,1959-04-01,1959-04-01 00:00:00,1980-02-01,1492,False
FRANCE,FR -1   ,G-3 (MARCOULE),GCR  ,,260,43,40,COGEMA,SACM,,,1956-03-01,1960-04-01,1960-04-01 00:00:00,1984-06-01,1492,False
FRANCE,FR -10  ,PHENIX,FBR  ,,345,142,130,CEA/EDF,CNCLNEY,,,1968-11-01,1973-12-01,1974-07-01 00:00:00,2010-02-01,1856,False
FRANCE,FR -7   ,ST. LAURENT A-1,GCR  ,,1650,500,390,EDF,FRAM,,,1963-10-01,1969-03-01,1969-06-01 00:00:00,1990-04-01,1978,False
FRANCE,FR -8   ,ST. LAURENT A-2,GCR  ,,1475,530,465,EDF,FRAM,,,1966-01-01,1971-08-01,1971-11-01 00:00:00,1992-05-01,2038,False
FRANCE,FR -24  ,SUPER-PHENIX,FBR  ,,3000,1242,1200,EDF,ASPALDO,,,1976-12-01,1986-01-01,1986-12-01 00:00:00,1998-12-01,3318,False
GERMANY,DE -4   ,AVR JUELICH,HTGR ,,46,15,13,AVR,BBK,,,1961-08-01,1967-12-01,1969-05-01 00:00:00,1988-12-01,2313,False
GERMANY,DE -12  ,BIBLIS-A,PWR  ,,3517,1225,1167,RWE,KWU,,,1970-01-01,1974-08-01,1975-02-01 00:00:00,2011-08-01,1673,False
GERMANY,DE -18  ,BIBLIS-B,PWR  ,,3733,1300,1240,RWE,KWU,,,1972-02-01,1976-04-01,1977-01-01 00:00:00,2011-08-01,1521,False
GERMANY,DE -13  ,BRUNSBUETTEL,BWR  ,,2292,806,771,KKB,KWU,,,1970-04-01,1976-07-01,1977-02-01 00:00:00,2011-08-01,2283,False
GERMANY,DE -23  ,GRAFENRHEINFELD,PWR  ,,3765,1345,1275,E.ON,KWU,,,1975-01-01,1981-12-01,1982-06-01 00:00:00,2015-06-01,2526,False
GERMANY,DE -502 ,GREIFSWALD-1,PWR  ,,1375,440,408,EWN,AEE,,,1970-03-01,1973-12-01,1974-07-01 00:00:00,1990-02-01,1371,False
GERMANY,DE -503 ,GREIFSWALD-2,PWR  ,,1375,440,408,EWN,AEE,,,1970-03-01,1974-12-01,1975-04-01 00:00:00,1990-02-01,1736,False
GERMANY,DE -504 ,GREIFSWALD-3,PWR  ,,1375,440,408,EWN,AEE,,,1972-04-01,1977-10-01,1978-05-01 00:00:00,1990-02-01,2009,False
GERMANY,DE -505 ,GREIFSWALD-4,PWR  ,,1375,440,408,EWN,AEE,,,1972-04-01,1979-09-01,1979-11-01 00:00:00,1990-07-01,2709,False
GERMANY,DE -506 ,GREIFSWALD-5,PWR  ,,1375,440,408,EWN,AEE,,,1976-12-01,1989-04-01,1989-11-01 00:00:00,1989-11-01,4504,False
