Textbox88,Textbox84,Country,Code1,Station1,Type,Textbox41,ThermalPower,Textbox37,Code,Station,Textbox70,Textbox74,Textbox94,Textbox78,Textbox90,Textbox86,Textbox17
"EAF %
2010 - 2020","UCF %
2010 - 2020",ARGENTINA,AR -1   ,ATUCHA-1,PHWR ,PHWR KWU,1179,362,340,NASA,SIEMENS,1968-6 ,1974-3 ,1974-6 ,74.5,75.5,-
"EAF %
2010 - 2020","UCF %
2010 - 2020",ARGENTINA,AR -2   ,EMBALSE,PHWR ,CANDU 6,2064,656,608,NASA,AECL,1974-4 ,1983-4 ,1984-1 ,78.6,78.9,-
"EAF %
2010 - 2020","UCF %
2010 - 2020",ARGENTINA,AR -3   ,ATUCHA-2,PHWR ,PHWR KWU,2160,745,693,NASA,SIEMENS,1981-7 ,2014-6 ,2016-5 ,53.1,53.1,-
"EAF %
2010 - 2020","UCF %
2010 - 2020",ARMENIA,AM -19  ,ARMENIAN-2,PWR  ,VVER V-270,1375,451,415,ANPPCJSC,FAEA,1975-7 ,1980-1 ,1980-5 ,65.6,67.7,-
"EAF %
2010 - 2020","UCF %
2010 - 2020",BELARUS,BY -1   ,BELARUSIAN-1,PWR  ,VVER V-491,3200,1194,1110,BelNPP,JSC ASE,2013-11,2020-11,,0,0,-
"EAF %
2010 - 2020","UCF %
2010 - 2020",BELGIUM,BE -2   ,DOEL-1,PWR  ,WH 2LP,1311,454,445,EBL+EDF,ACECOWEN,1969-7 ,1974-8 ,1975-2 ,83.4,84.2,-
"EAF %
2010 - 2020","UCF %
2010 - 2020",BELGIUM,BE -3   ,TIHANGE-1,PWR  ,Framatome 3 lo,2873,1009,962,EBL,ACLF,1970-6 ,1975-3 ,1975-10,79.9,81.9,-
"EAF %
2010 - 2020","UCF %
2010 - 2020",BELGIUM,BE -4   ,DOEL-2,PWR  ,WH 2LP,1311,454,445,EBL+EDF,ACECOWEN,1971-9 ,1975-8 ,1975-12,80.9,81.7,-
"EAF %
2010 - 2020","UCF %
2010 - 2020",BELGIUM,BE -5   ,DOEL-3,PWR  ,WH 3LP,3054,1056,1006,EBL+EDF,FRAMACEC,1975-1 ,1982-6 ,1982-10,78.5,79.5,-
"EAF %
2010 - 2020","UCF %
2010 - 2020",BELGIUM,BE -6   ,TIHANGE-2,PWR  ,WH 3LP,3064,1055,1008,EBL,FRAMACEC,1976-4 ,1982-10,1983-6 ,79.7,80.6,-
