Country,Code,Name,Type,Thermal,Gross,Net,Operator,Supplier,Start,Connection,Operation,Shutdown
ARMENIA,AM -18  ,ARMENIAN-1,PWR  ,1375,408,376,ANPPCJSC,FAEA,1969-7 ,1976-12,1977-10,1989-2 
BELGIUM,BE -1   ,BR-3,PWR  ,41,12,10,CEN/SCK,WH,1957-11,1962-10,1962-10,1987-6 
BULGARIA,BG -1   ,KOZLODUY-1,PWR  ,1375,440,408,K N N P,AEE,1970-4 ,1974-7 ,1974-10,2002-12
BULGARIA,BG -2   ,KOZLODUY-2,PWR  ,1375,440,408,KOZNPP,AEE,1970-4 ,1975-8 ,1975-11,2002-12
BULGARIA,BG -3   ,KOZLODUY-3,PWR  ,1375,440,408,K N N P,AEE,1973-10,1980-12,1981-1 ,2006-12
BULGARIA,BG -4   ,KOZLODUY-4,PWR  ,1375,440,408,K N N P,AEE,1973-10,1982-5 ,1982-6 ,2006-12
CANADA,CA -2   ,DOUGLAS POINT,PHWR ,704,218,206,OH,AECL,1960-2 ,1967-1 ,1968-9 ,1984-5 
CANADA,CA -3   ,GENTILLY-1,HWLWR,792,266,250,HQ,AECL,1966-9 ,1971-4 ,1972-5 ,1977-6 
CANADA,CA -12  ,GENTILLY-2,PHWR ,2156,675,635,HQ,AECL,1974-4 ,1982-12,1983-10,2012-12
CANADA,CA -5   ,PICKERING-2,PHWR ,1744,542,515,OPG,OH/AECL,1966-9 ,1971-10,1971-12,2007-5 
CANADA,CA -6   ,PICKERING-3,PHWR ,1744,542,515,OPG,OH/AECL,1967-12,1972-5 ,1972-6 ,2008-10
CANADA,CA -1   ,ROLPHTON NPD,PHWR ,92,25,22,OH,CGE,1958-1 ,1962-6 ,1962-10,1987-8 
FRANCE,FR -9   ,BUGEY-1,GCR  ,1954,555,540,EDF,FRAM,1965-12,1972-4 ,1972-7 ,1994-5 
FRANCE,FR -2   ,CHINON A-1,GCR  ,300,80,70,EDF,LEVIVIER,1957-2 ,1963-6 ,1964-2 ,1973-4 
FRANCE,FR -3   ,CHINON A-2,GCR  ,800,230,180,EDF,LEVIVIER,1959-8 ,1965-2 ,1965-2 ,1985-6 
FRANCE,FR -4   ,CHINON A-3,GCR  ,1170,480,360,EDF,GTM,1961-3 ,1966-8 ,1966-8 ,1990-6 
FRANCE,FR -5   ,CHOOZ-A (ARDENNES),PWR  ,1040,320,305,SENA,A/F/W,1962-1 ,1967-4 ,1967-4 ,1991-10
FRANCE,FR -6   ,EL-4 (MONTS D'ARREE),HWGCR,250,75,70,EDF,GAAA,1962-7 ,1967-7 ,1968-6 ,1985-7 
FRANCE,FR -11  ,FESSENHEIM-1,PWR  ,2785,920,880,EDF,FRAM,1971-9 ,1977-4 ,1978-1 ,2020-2 
FRANCE,FR -12  ,FESSENHEIM-2,PWR  ,2785,920,880,EDF,FRAM,1972-2 ,1977-10,1978-4 ,2020-6 
FRANCE,FR -1B  ,G-2 (MARCOULE),GCR  ,260,43,39,COGEMA,SACM,1955-3 ,1959-4 ,1959-4 ,1980-2 
FRANCE,FR -1   ,G-3 (MARCOULE),GCR  ,260,43,40,COGEMA,SACM,1956-3 ,1960-4 ,1960-4 ,1984-6 
FRANCE,FR -10  ,PHENIX,FBR  ,345,142,130,CEA/EDF,CNCLNEY,1968-11,1973-12,1974-7 ,2010-2 
FRANCE,FR -7   ,ST. LAURENT A-1,GCR  ,1650,500,390,EDF,FRAM,1963-10,1969-3 ,1969-6 ,1990-4 
FRANCE,FR -8   ,ST. LAURENT A-2,GCR  ,1475,530,465,EDF,FRAM,1966-1 ,1971-8 ,1971-11,1992-5 
FRANCE,FR -24  ,SUPER-PHENIX,FBR  ,3000,1242,1200,EDF,ASPALDO,1976-12,1986-1 ,1986-12,1998-12
GERMANY,DE -4   ,AVR JUELICH,HTGR ,46,15,13,AVR,BBK,1961-8 ,1967-12,1969-5 ,1988-12
GERMANY,DE -12  ,BIBLIS-A,PWR  ,3517,1225,1167,RWE,KWU,1970-1 ,1974-8 ,1975-2 ,2011-8 
GERMANY,DE -18  ,BIBLIS-B,PWR  ,3733,1300,1240,RWE,KWU,1972-2 ,1976-4 ,1977-1 ,2011-8 
GERMANY,DE -32  ,BROKDORF,PWR  ,3900,1480,1410,PElektra,KWU,1976-1 ,1986-10,1986-12,2021-12
GERMANY,DE -13  ,BRUNSBUETTEL,BWR  ,2292,806,771,KKB,KWU,1970-4 ,1976-7 ,1977-2 ,2011-8 
GERMANY,DE -23  ,GRAFENRHEINFELD,PWR  ,3765,1345,1275,E.ON,KWU,1975-1 ,1981-12,1982-6 ,2015-6 
GERMANY,DE -502 ,GREIFSWALD-1,PWR  ,1375,440,408,EWN,AEE,1970-3 ,1973-12,1974-7 ,1990-2 
GERMANY,DE -503 ,GREIFSWALD-2,PWR  ,1375,440,408,EWN,AEE,1970-3 ,1974-12,1975-4 ,1990-2 
GERMANY,DE -504 ,GREIFSWALD-3,PWR  ,1375,440,408,EWN,AEE,1972-4 ,1977-10,1978-5 ,1990-2 
GERMANY,DE -505 ,GREIFSWALD-4,PWR  ,1375,440,408,EWN,AEE,1972-4 ,1979-9 ,1979-11,1990-7 
GERMANY,DE -506 ,GREIFSWALD-5,PWR  ,1375,440,408,EWN,AEE,1976-12,1989-4 ,1989-11,1989-11
GERMANY,DE -27  ,GROHNDE,PWR  ,3900,1430,1360,PElektra,KWU,1976-6 ,1984-9 ,1985-2 ,2021-12
GERMANY,DE -3   ,GUNDREMMINGEN-A,BWR  ,801,250,237,KGB,"AEG,GE",1962-12,1966-12,1967-4 ,1977-1 
GERMANY,DE -26  ,GUNDREMMINGEN-B,BWR  ,3840,1344,1284,KGG,KWU,1976-7 ,1984-3 ,1984-7 ,2017-12
GERMANY,DE -28  ,GUNDREMMINGEN-C,BWR  ,3840,1344,1288,KGG,KWU,1976-7 ,1984-11,1985-1 ,2021-12
GERMANY,DE -16  ,ISAR-1,BWR  ,2575,912,878,E.ON,KWU,1972-5 ,1977-12,1979-3 ,2011-8 
GERMANY,DE -8   ,KNK II,FBR  ,58,21,17,KBG,IA,1974-9 ,1978-4 ,1979-3 ,1991-8 
GERMANY,DE -20  ,KRUEMMEL,BWR  ,3690,1402,1346,KKK,KWU,1974-4 ,1983-9 ,1984-3 ,2011-8 
GERMANY,DE -6   ,LINGEN,BWR  ,520,268,183,KWL,AEG,1964-10,1968-7 ,1968-10,1977-1 
GERMANY,DE -22  ,MUELHEIM-KAERLICH,PWR  ,3760,1302,1219,KGG,BBR,1975-1 ,1986-3 ,1987-8 ,1988-9 
GERMANY,DE -2   ,MZFR,PHWR ,200,57,52,KBG,SIEMENS,1961-12,1966-3 ,1966-12,1984-5 
GERMANY,DE -15  ,NECKARWESTHEIM-1,PWR  ,2497,840,785,EnKK,KWU,1972-2 ,1976-6 ,1976-12,2011-8 
GERMANY,DE -5   ,OBRIGHEIM,PWR  ,1050,357,340,EnBW,"SIEM,KWU",1965-3 ,1968-10,1969-3 ,2005-5 
GERMANY,DE -14  ,PHILIPPSBURG-1,BWR  ,2575,926,890,EnKK,KWU,1970-10,1979-5 ,1980-3 ,2011-8 
GERMANY,DE -24  ,PHILIPPSBURG-2,PWR  ,3950,1468,1402,EnKK,KWU,1977-7 ,1984-12,1985-4 ,2019-12
GERMANY,DE -501 ,RHEINSBERG,PWR  ,265,70,62,EWN,AEE,1960-1 ,1966-5 ,1966-10,1990-6 
GERMANY,DE -10  ,STADE,PWR  ,1900,672,640,E.ON,KWU,1967-12,1972-1 ,1972-5 ,2003-11
